,compound,create_date,negative,neutral,news_media,positive,tweets_ago
66,-0.5106,2018-07-01 11:30:08+00:00,0.264,0.736,CNN,0.0,-66
67,-0.5106,2018-07-01 11:01:05+00:00,0.202,0.798,CNN,0.0,-67
68,-0.3182,2018-07-01 10:31:00+00:00,0.095,0.905,CNN,0.0,-68
69,-0.836,2018-07-01 10:30:03+00:00,0.471,0.529,CNN,0.0,-69
70,0.0,2018-07-01 10:01:06+00:00,0.0,1.0,CNN,0.0,-70
71,0.0,2018-07-01 09:31:00+00:00,0.0,1.0,CNN,0.0,-71
72,0.6249,2018-07-01 09:30:10+00:00,0.0,0.823,CNN,0.177,-72
73,0.0,2018-07-01 09:01:07+00:00,0.0,1.0,CNN,0.0,-73
74,0.4215,2018-07-01 08:31:00+00:00,0.0,0.811,CNN,0.189,-74
75,-0.802,2018-07-01 08:30:07+00:00,0.419,0.581,CNN,0.0,-75
76,0.0772,2018-07-01 08:01:00+00:00,0.129,0.73,CNN,0.142,-76
77,0.0,2018-07-01 08:00:19+00:00,0.0,1.0,CNN,0.0,-77
78,-0.4404,2018-07-01 07:59:06+00:00,0.153,0.847,CNN,0.0,-78
79,-0.2023,2018-07-01 07:31:00+00:00,0.145,0.753,CNN,0.102,-79
80,0.6808,2018-07-01 07:30:09+00:00,0.101,0.62,CNN,0.279,-80
81,-0.25,2018-07-01 07:00:25+00:00,0.181,0.686,CNN,0.132,-81
82,0.6369,2018-07-01 07:00:00+00:00,0.0,0.794,CNN,0.206,-82
83,0.296,2018-07-01 06:31:00+00:00,0.0,0.842,CNN,0.158,-83
84,-0.891,2018-07-01 06:30:47+00:00,0.449,0.551,CNN,0.0,-84
85,0.0,2018-07-01 06:01:00+00:00,0.0,1.0,CNN,0.0,-85
86,0.5719,2018-07-01 06:00:03+00:00,0.0,0.619,CNN,0.381,-86
87,0.4939,2018-07-01 05:30:04+00:00,0.0,0.802,CNN,0.198,-87
88,0.7096,2018-07-01 05:01:13+00:00,0.0,0.772,CNN,0.228,-88
89,0.0,2018-07-01 04:31:00+00:00,0.0,1.0,CNN,0.0,-89
90,0.296,2018-07-01 04:30:04+00:00,0.0,0.896,CNN,0.104,-90
